@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute lpx numeric
@attribute lpy numeric
@attribute lpz numeric
@attribute lrx numeric
@attribute lry numeric
@attribute lrz numeric
@attribute lrw numeric
@attribute rpx numeric
@attribute rpy numeric
@attribute rpz numeric
@attribute rrx numeric
@attribute rry numeric
@attribute rrz numeric
@attribute rrw numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 {0,1,2,3,4,5}

@data
47,'2020/05/05 21:00:39:050',2,-0.405509,0.649267,-0.284057,0.318904,0.290071,-0.37304,-0.821584,0.077328,1.114042,-0.395787,0.392952,-0.177952,-0.027101,-0.901769,?,?,?,?,?,1
48,'2020/05/05 21:00:39:062',2,-0.405509,0.649267,-0.284057,0.318904,0.290071,-0.37304,-0.821584,0.080749,1.107008,-0.391502,0.350644,-0.198171,-0.06227,-0.913181,?,?,?,?,?,1
49,'2020/05/05 21:00:39:079',2,-0.405509,0.649267,-0.284057,0.318904,0.29007,-0.37304,-0.821584,0.085672,1.096713,-0.386631,0.295982,-0.220047,-0.082513,-0.925832,?,?,?,?,?,1
50,'2020/05/05 21:00:39:091',2,-0.405509,0.649267,-0.284057,0.318904,0.29007,-0.37304,-0.821584,0.090902,1.086367,-0.383765,0.243659,-0.241426,-0.092402,-0.934776,?,?,?,?,?,1
51,'2020/05/05 21:00:39:106',2,-0.405509,0.649267,-0.284057,0.318905,0.29007,-0.37304,-0.821584,0.096852,1.076232,-0.382503,0.195637,-0.266174,-0.093044,-0.939266,?,?,?,?,?,1
52,'2020/05/05 21:00:39:119',2,-0.405509,0.649267,-0.284057,0.318905,0.29007,-0.37304,-0.821584,0.102686,1.067297,-0.382483,0.154809,-0.291031,-0.091942,-0.939618,?,?,?,?,?,1
53,'2020/05/05 21:00:39:136',2,-0.405509,0.649267,-0.284057,0.318905,0.29007,-0.37304,-0.821584,0.107583,1.058957,-0.38328,0.115135,-0.31162,-0.095073,-0.938402,?,?,?,?,?,1
54,'2020/05/05 21:00:39:148',2,-0.405509,0.649267,-0.284057,0.318905,0.29007,-0.37304,-0.821584,0.112661,1.050225,-0.385301,0.076315,-0.335198,-0.088705,-0.934853,?,?,?,?,?,1
55,'2020/05/05 21:00:39:162',2,-0.405509,0.649267,-0.284057,0.318905,0.29007,-0.373041,-0.821584,0.316857,0.997961,-0.008113,0.036945,-0.358468,-0.04745,-0.931603,?,?,?,?,?,1
56,'2020/05/05 21:00:39:174',2,-0.405509,0.649267,-0.284057,0.318905,0.29007,-0.373041,-0.821584,0.320903,0.9875,-0.014513,0.00594,-0.395542,0.004322,-0.918419,?,?,?,?,?,1
57,'2020/05/05 21:00:39:190',2,-0.405509,0.649267,-0.284057,0.318905,0.29007,-0.373041,-0.821584,0.323195,0.979182,-0.021812,-0.01564,-0.430892,0.056039,-0.900526,?,?,?,?,?,1
58,'2020/05/05 21:00:39:202',2,-0.405509,0.649267,-0.284057,0.318905,0.290069,-0.373041,-0.821584,0.324061,0.975058,-0.029175,-0.02255,-0.461148,0.100458,-0.88133,?,?,?,?,?,1
59,'2020/05/05 21:00:39:216',2,-0.405509,0.649267,-0.284057,0.318905,0.290069,-0.373041,-0.821584,0.36169,0.943517,-0.01806,-0.020626,-0.469141,0.111033,-0.875872,?,?,?,?,?,1
60,'2020/05/05 21:00:39:230',2,-0.405509,0.649267,-0.284057,0.318905,0.290069,-0.373041,-0.821584,0.361629,0.94911,-0.019094,-0.016281,-0.472791,0.099448,-0.875393,?,?,?,?,?,1
61,'2020/05/05 21:00:39:246',2,-0.405509,0.649267,-0.284057,0.318905,0.290069,-0.373041,-0.821584,0.389362,0.927567,-0.017641,0.015172,-0.463968,0.060235,-0.883671,?,?,?,?,?,1
62,'2020/05/05 21:00:39:256',2,-0.405509,0.649267,-0.284057,0.318905,0.290069,-0.373041,-0.821584,0.389299,0.937764,-0.015802,0.027786,-0.452602,0.00737,-0.891249,?,?,?,?,?,1
63,'2020/05/05 21:00:39:273',2,-0.405509,0.649267,-0.284057,0.318906,0.290069,-0.373041,-0.821583,0.386785,0.952288,-0.013182,0.045913,-0.439415,-0.047939,-0.895828,?,?,?,?,?,1
64,'2020/05/05 21:00:39:288',2,-0.405509,0.649267,-0.284057,0.318906,0.290069,-0.373041,-0.821584,0.38228,0.967411,-0.01089,0.064432,-0.432265,-0.081665,-0.895727,?,?,?,?,?,1
65,'2020/05/05 21:00:39:301',2,-0.405509,0.649267,-0.284057,0.318906,0.290069,-0.373041,-0.821583,0.376424,0.982578,-0.00901,0.082275,-0.431883,-0.093677,-0.893271,?,?,?,?,?,1
66,'2020/05/05 21:00:39:314',2,-0.405509,0.649267,-0.284057,0.318906,0.290069,-0.373042,-0.821583,0.368721,0.997645,-0.00647,0.099218,-0.43212,-0.087827,-0.892028,?,?,?,?,?,1
67,'2020/05/05 21:00:39:329',2,-0.405509,0.649267,-0.284057,0.318906,0.290069,-0.373042,-0.821583,0.362756,1.006797,-0.003892,0.114278,-0.428336,-0.072177,-0.893453,?,?,?,?,?,1
68,'2020/05/05 21:00:39:341',2,-0.405509,0.649267,-0.284057,0.318906,0.290068,-0.373042,-0.821583,0.360838,1.007722,-0.001985,0.127347,-0.418823,-0.053023,-0.897529,?,?,?,?,?,1
69,'2020/05/05 21:00:39:356',2,-0.405509,0.649267,-0.284057,0.318906,0.290068,-0.373042,-0.821583,0.358094,1.008889,0.000601,0.139528,-0.404144,-0.035884,-0.903278,?,?,?,?,?,1
70,'2020/05/05 21:00:39:368',2,-0.405509,0.649267,-0.284057,0.318906,0.290068,-0.373042,-0.821583,0.354755,1.01083,0.00341,0.151898,-0.386007,-0.025148,-0.909557,?,?,?,?,?,1
71,'2020/05/05 21:00:39:385',2,-0.405509,0.649268,-0.284057,0.318906,0.290068,-0.373042,-0.821583,0.351003,1.013888,0.006076,0.165999,-0.365918,-0.022763,-0.91544,?,?,?,?,?,1
72,'2020/05/05 21:00:39:396',2,-0.405509,0.649268,-0.284057,0.318906,0.290068,-0.373042,-0.821583,0.346909,1.017784,0.008463,0.181106,-0.344667,-0.02883,-0.920638,?,?,?,?,?,1
73,'2020/05/05 21:00:39:413',2,-0.405509,0.649268,-0.284057,0.318906,0.290068,-0.373042,-0.821583,0.342266,1.022176,0.010671,0.197172,-0.321703,-0.040304,-0.925206,?,?,?,?,?,1
74,'2020/05/05 21:00:39:425',2,-0.405509,0.649268,-0.284057,0.318906,0.290068,-0.373042,-0.821583,0.337292,1.02663,0.012523,0.213353,-0.298598,-0.054487,-0.928628,?,?,?,?,?,1
75,'2020/05/05 21:00:39:440',2,-0.405509,0.649268,-0.284057,0.318907,0.290068,-0.373042,-0.821583,0.332162,1.030917,0.013974,0.229163,-0.276152,-0.070173,-0.930752,?,?,?,?,?,1
76,'2020/05/05 21:00:39:452',2,-0.405509,0.649268,-0.284057,0.318907,0.290068,-0.373043,-0.821583,0.326944,1.034926,0.015049,0.244471,-0.254536,-0.086209,-0.931672,?,?,?,?,?,1
77,'2020/05/05 21:00:39:469',2,-0.405509,0.649268,-0.284057,0.318907,0.290067,-0.373043,-0.821583,0.321717,1.038455,0.015836,0.258743,-0.233744,-0.100731,-0.93181,?,?,?,?,?,1
78,'2020/05/05 21:00:39:481',2,-0.405509,0.649268,-0.284057,0.318907,0.290067,-0.373043,-0.821583,0.31657,1.041647,0.016302,0.272611,-0.213996,-0.113363,-0.931149,?,?,?,?,?,1
79,'2020/05/05 21:00:39:496',2,-0.405509,0.649268,-0.284057,0.318907,0.290067,-0.373043,-0.821583,0.311575,1.044332,0.01657,0.285056,-0.195191,-0.124372,-0.930148,?,?,?,?,?,1
80,'2020/05/05 21:00:39:508',2,-0.405509,0.649268,-0.284057,0.318907,0.290067,-0.373043,-0.821583,0.306555,1.046651,0.016704,0.296977,-0.176216,-0.132292,-0.929113,?,?,?,?,?,1
81,'2020/05/05 21:00:39:524',2,-0.405509,0.649268,-0.284057,0.318907,0.290067,-0.373043,-0.821583,0.301548,1.048533,0.016867,0.307687,-0.156468,-0.137496,-0.928408,?,?,?,?,?,1
82,'2020/05/05 21:00:39:540',2,-0.405509,0.649268,-0.284057,0.318907,0.290067,-0.373043,-0.821583,0.296583,1.049633,0.016905,0.315412,-0.13733,-0.140004,-0.928469,?,?,?,?,?,1
83,'2020/05/05 21:00:39:551',2,-0.405509,0.649268,-0.284057,0.318907,0.290067,-0.373043,-0.821583,0.29202,1.050629,0.016904,0.322703,-0.118965,-0.141955,-0.928202,?,?,?,?,?,1
84,'2020/05/05 21:00:39:564',2,-0.405509,0.649268,-0.284057,0.318907,0.290067,-0.373043,-0.821583,0.287937,1.050864,0.016909,0.32622,-0.102786,-0.144175,-0.928563,?,?,?,?,?,1
85,'2020/05/05 21:00:39:580',2,-0.405509,0.649268,-0.284057,0.318907,0.290067,-0.373043,-0.821583,0.28322,1.050713,0.017075,0.328328,-0.083309,-0.148011,-0.929168,?,?,?,?,?,1
86,'2020/05/05 21:00:39:591',2,-0.405509,0.649268,-0.284057,0.318908,0.290067,-0.373043,-0.821583,0.278413,1.050034,0.017306,0.328332,-0.063018,-0.151852,-0.930144,?,?,?,?,?,1
87,'2020/05/05 21:00:39:607',2,-0.405509,0.649268,-0.284057,0.318908,0.290066,-0.373044,-0.821583,0.273192,1.048764,0.017633,0.326406,-0.040041,-0.153361,-0.931845,?,?,?,?,?,1
88,'2020/05/05 21:00:39:619',2,-0.405509,0.649268,-0.284057,0.318908,0.290066,-0.373044,-0.821583,0.267902,1.046944,0.017935,0.322325,-0.016195,-0.153258,-0.934,?,?,?,?,?,1
89,'2020/05/05 21:00:39:637',2,-0.405509,0.649268,-0.284057,0.318908,0.290066,-0.373044,-0.821582,0.262545,1.044867,0.018047,0.317349,0.008229,-0.152404,-0.935946,?,?,?,?,?,1
90,'2020/05/05 21:00:39:646',2,-0.405509,0.649268,-0.284057,0.318908,0.290066,-0.373044,-0.821583,-0.044894,1.246216,0.114885,0.312412,0.03291,-0.166188,-0.934718,?,?,?,?,?,1
91,'2020/05/05 21:00:39:664',2,-0.405509,0.649268,-0.284057,0.318908,0.290066,-0.373044,-0.821582,-0.050292,1.241673,0.113883,0.306518,0.058308,-0.162846,-0.936017,?,?,?,?,?,1
92,'2020/05/05 21:00:39:677',2,-0.405509,0.649268,-0.284057,0.318908,0.290066,-0.373044,-0.821582,-0.055129,1.23542,0.112402,0.298703,0.08176,-0.161624,-0.937,?,?,?,?,?,1
93,'2020/05/05 21:00:39:691',2,-0.405509,0.649268,-0.284057,0.318908,0.290066,-0.373044,-0.821582,-0.118916,1.241478,0.112538,0.290791,0.102382,-0.167101,-0.936502,?,?,?,?,?,1
94,'2020/05/05 21:00:39:703',2,-0.405509,0.649268,-0.284057,0.318908,0.290066,-0.373044,-0.821582,-0.122595,1.236422,0.111065,0.284261,0.121239,-0.174363,-0.93493,?,?,?,?,?,1
95,'2020/05/05 21:00:39:717',2,-0.405509,0.649268,-0.284057,0.318908,0.290066,-0.373044,-0.821582,-0.126298,1.230369,0.109248,0.277039,0.141761,-0.180413,-0.933062,?,?,?,?,?,1
